country_name,country_code,year,adult_obesity_pct,fruits,non_starchy_vegetables,potatoes,other_starchy_vegetables,beans_and_legumes,nuts_and_seeds,refined_grains,whole_grains,total_processed_meats,unprocessed_red_meats,total_seafoods,eggs,cheese,yoghurt_including_fermented_milk_,sugar_sweetened_beverages,fruit_juices,coffee,tea,total_carbohydrates,total_protein,saturated_fat,monounsaturated_fatty_acids,total_omega_6_fat,seafood_omega_3_fat,plant_omega_3_fat,dietary_cholesterol,dietary_fiber,added_sugars,calcium,dietary_sodium,iodine,iron,magnesium,potassium,selenium,vitamin_a_w_supplements,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b9_folate_,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,zinc,total_milk
Albania,ALB,2010,18.15,111.3111978,115.5425144,124.628831,53.20851295,37.08805459,10.90039398,247.8483547,43.66196622,66.2512739,45.13095441,19.2545225,35.22974698,15.80907474,85.99670993,490.9481426,29.1205771,0.5075669643,0.6871788024,50.41695904,66.13129214,12.06884592,14.94835549,2.470955783,145.4424739,504.956655,288.9653126,26.08749191,18.66333068,847.1953845,3186.802355,92.0969352,7.880570991,292.4320966,3051.504702,24.26750639,2198.842524,1.11202779,1.656559853,29.82466333,2.255801981,268.8465239,2.625535065,133.2483108,4.742521563,15.26158192,7.982837533,111.1175421
Albania,ALB,2015,21.1,130.484828,122.2949178,180.9517259,69.9419187,40.71328675,11.87682371,252.5426982,35.7575974,77.98353306,56.67997446,17.47514577,84.92668605,16.67098612,83.18748346,842.4848906,26.16456767,0.7848359191,0.7661257434,50.30289531,67.62731031,12.09006714,15.05601865,2.470737047,145.6698894,513.2424358,334.1190146,33.91384427,27.1532866,851.3713334,3280.354203,110.2252834,8.690846862,295.7313172,3069.440379,23.85983295,2258.984455,1.116670899,1.653165766,29.5122705,2.28825498,268.6816097,2.652142036,128.4177109,4.965798052,14.77417053,8.000802063,111.4996363
Algeria,DZA,1990,12.2,62.48077406,114.84236,32.11166008,39.64265396,10.14491919,0.4713617424,173.5092538,14.84428579,11.63544313,18.17230363,23.42051141,22.86741876,11.54215606,36.13815669,261.3223932,29.12516366,0.3377784911,0.7817350736,55.96369753,57.81046299,13.07340819,20.2922302,2.592984484,20.01819763,696.1044088,296.7300394,15.30405384,5.94273462,478.2977691,2732.93818,115.1300698,15.90120804,144.835762,1333.084664,147.8762822,254.5034193,0.8627328483,1.123754691,12.62867813,1.086791694,169.6181564,2.243110609,47.0869934,1.911650304,5.974946602,4.263740647,154.9861154
Algeria,DZA,1995,14.65,66.01520324,136.8575523,45.99042043,44.36252967,12.08870398,1.008305616,190.8992454,16.71369372,10.00886023,23.21887569,25.57406001,17.59730263,19.16355814,43.43641455,191.7327149,30.17773581,0.2009194566,0.6355382907,55.78019416,60.74625037,12.92303446,19.10453157,2.623561578,27.72528404,836.4329719,302.6119666,18.43496793,3.659861852,505.1509525,2806.297856,110.8456006,15.97511839,176.2930439,1560.770133,150.4397637,274.5101189,0.9047991018,1.155537238,15.00355326,1.226348636,194.8414973,2.329388457,58.35536454,1.913022633,6.078954633,4.551341786,153.6624672
Algeria,DZA,2000,17.25,70.20117454,138.8183203,45.524201,46.1963739,11.88061786,1.805228368,288.4378767,23.08201589,10.72354092,22.51176456,26.28351237,11.09671496,23.20385747,47.20339721,256.4860932,30.17012436,0.4094802688,0.6625492698,56.11111882,59.79064977,12.24295972,19.57109243,2.582553275,21.20705831,778.4499035,297.0711785,14.18375938,5.538720311,524.3005193,2863.025514,106.5274564,14.94931812,155.9474262,1539.640472,155.2289075,308.9938862,0.9186152211,1.177180815,14.54533398,1.178597018,205.6764059,2.436491326,59.27835864,1.911048703,5.787336034,4.2703714,162.8059919
Algeria,DZA,2005,20.2,77.27861373,169.1387303,83.91220357,47.60319072,14.65996876,5.608898971,258.8224559,20.85415648,12.57085791,30.8643579,30.82546298,21.82982944,24.9555085,48.65240046,224.7627023,26.87520648,0.4287091535,0.8789014365,56.53797379,77.26766428,12.28976912,16.03586736,2.558151865,21.02570834,782.9377993,319.7630559,22.5150471,4.428881184,615.0085316,2963.789784,123.743617,12.98615518,218.3442588,2032.758322,159.1041903,387.9104544,0.9910382143,1.287053949,20.34852098,1.566198918,249.9666184,2.517519775,91.96383068,2.00322155,6.418939097,5.204688439,195.4463146
Algeria,DZA,2010,23.35,82.15538817,180.7326204,101.8369623,45.13307986,14.91421808,10.6747892,421.6386533,29.50125094,9.718097818,23.09465563,26.80804875,33.15243631,23.47088091,47.95419209,297.9294264,25.43696113,0.2371084096,0.9212745004,56.15862794,66.24197951,12.95108848,15.86870249,2.59274333,21.31015976,902.8708157,315.1079376,21.89216397,7.093574238,753.7929747,3086.409022,135.7390056,11.57808666,256.5888363,2328.663261,157.1667293,521.3317422,1.022151784,1.375825854,22.98672303,1.774297417,275.3925141,2.482128772,123.7323457,2.130218605,6.357288269,5.421387005,233.0006408
Algeria,DZA,2015,26.7,81.34577698,191.3367944,99.14085924,41.28101482,18.33786324,9.666341774,439.2794138,25.85003392,11.25595622,30.78750504,26.07992945,48.48221374,24.30860476,47.43845154,226.4225195,22.08655625,0.4251964105,0.9321417555,56.36999877,69.65669591,12.9879446,16.34442136,2.589887288,19.84815629,878.8272025,328.17123,25.96725467,5.013046259,758.8564736,3108.796092,144.5256568,11.27475329,262.2223834,2342.954153,155.3471598,620.944066,1.018052516,1.368362047,22.97347468,1.772547116,279.8021887,2.493620076,126.7010062,2.036862734,5.893241629,5.500458929,190.3515716
Angola,AGO,1990,1.95,44.2929822,133.972352,26.17377518,46.78515252,28.9646335,2.217554772,303.7402954,32.42372975,4.338433051,12.66075153,89.29991388,1.769281573,1.339986823,8.533794075,103.2947104,17.50538717,0.1880714395,0.5392158639,60.34854026,46.29855857,12.14452368,10.22688826,2.644493611,211.458287,689.0609945,77.23666565,16.46192274,0.211840586,500.1448452,2061.452019,64.74166534,14.37074724,218.0160204,2042.347373,99.13591766,1573.425963,1.017064194,1.271427151,10.73762578,1.207007828,206.8641855,1.441392553,68.03921614,2.93227789,9.337672777,7.144932457,104.3116351
Angola,AGO,1995,2.65,42.41699537,118.1554285,13.20786778,58.91608918,38.15340197,1.428484506,118.4617331,37.93475594,3.344228561,8.639186055,33.59530829,1.643737196,1.401457664,9.414286845,44.41942477,19.6515249,0.1900120656,0.5398901473,60.2053531,51.97154184,12.03336265,10.10210953,2.658841365,117.1225741,671.8210722,64.63027623,13.16379627,0.01579076213,505.0598884,2061.896234,63.04805668,20.68121082,224.5922523,2051.99284,97.73971178,1117.620035,1.018559693,1.267700937,10.83717008,1.243713986,205.7450859,1.43764009,70.99540853,2.198190871,8.87887564,7.20023654,59.69587994
